Abundance|10E=169
Academy Researchers|10E=18
Adarkar Wastes|10E=560
Afflict|10E=6
Aggressive Urge|10E=15
Agonizing Memories|10E=5
Air Elemental (1)|10E=49
Air Elemental (2)|10E=8
Ambassador Laquatus|10E=110
Anaba Bodyguard (1)|10E=3
Anaba Bodyguard (2)|10E=43
Ancestor's Chosen (1)|10E=9
Ancestor's Chosen (2)|10E=52
Angel of Mercy (1)|10E=10
Angel of Mercy (2)|10E=199
Angel's Feather|10E=22
Angelic Blessing (1)|10E=21
Angelic Blessing (2)|10E=40
Angelic Chorus|10E=447
Angelic Wall (1)|10E=22
Angelic Wall (2)|10E=104
Arcane Teachings (1)|10E=27
Arcane Teachings (2)|10E=435
Arcanis the Omnipotent|10E=61
Ascendant Evincar (1)|10E=1199
Ascendant Evincar (2)|10E=351
Assassinate|10E=13
Aura Graft|10E=27
Aura of Silence|10E=310
Avatar of Might (1)|10E=59
Avatar of Might (2)|10E=658
Aven Cloudchaser (1)|10E=7
Aven Cloudchaser (2)|10E=40
Aven Fisher (1)|10E=33
Aven Fisher (2)|10E=7
Aven Windreader (1)|10E=10
Aven Windreader (2)|10E=19
Ballista Squad|10E=9
Bandage|10E=23
Battlefield Forge|10E=247
Beacon of Destruction|10E=26
Beacon of Immortality|10E=684
Beacon of Unrest|10E=62
Benalish Knight (1)|10E=51
Benalish Knight (2)|10E=7
Birds of Paradise (1)|10E=701
Birds of Paradise (2)|10E=4032
Blanchwood Armor (1)|10E=105
Blanchwood Armor (2)|10E=22
Blaze|10E=17
Bloodfire Colossus|10E=39
Bloodrock Cyclops|10E=14
Bog Wraith (1)|10E=40
Bog Wraith (2)|10E=9
Bogardan Firefiend|10E=7
Boomerang|10E=33
Bottle Gnomes|10E=12
Brushland|10E=361
Cancel|10E=21
Canopy Spider (1)|10E=52
Canopy Spider (2)|10E=11
Caves of Koilos|10E=190
Cephalid Constable|10E=948
Chimeric Staff|10E=40
Cho-Manno, Revolutionary|10E=61
Chromatic Star|10E=37
Citanul Flute|10E=335
Civic Wayfinder|10E=6
Clone|10E=28
Cloud Elemental (1)|10E=1
Cloud Elemental (2)|10E=69
Cloud Sprite (1)|10E=90
Cloud Sprite (2)|10E=12
Coat of Arms (1)|10E=1682
Coat of Arms (2)|10E=2000
Colossus of Sardia (1)|10E=168
Colossus of Sardia (2)|10E=19
Commune with Nature|10E=17
Composite Golem|10E=43
Condemn|10E=25
Cone of Flame|10E=10
Consume Spirit|10E=29
Contaminated Bond (1)|10E=52
Contaminated Bond (2)|10E=11
Counsel of the Soratami|10E=6
Crafty Pathmage|10E=9
Craw Wurm|10E=11
Creeping Mold|10E=19
Crucible of Worlds|10E=2598
Cruel Edict|10E=24
Cryoclasm|10E=20
Deathmark|10E=9
Dehydration (1)|10E=11
Dehydration (2)|10E=39
Deluge|10E=38
Demolish|10E=2
Demon's Horn|10E=30
Demystify|10E=9
Denizen of the Deep|10E=28
Diabolic Tutor|10E=96
Discombobulate|10E=5
Distress|10E=18
Doomed Necromancer|10E=99
Doubling Cube|10E=1697
Dragon Roost (1)|10E=90
Dragon Roost (2)|10E=460
Dragon's Claw|10E=29
Dreamborn Muse|10E=389
Dross Crocodile|10E=20
Drudge Skeletons (1)|10E=11
Drudge Skeletons (2)|10E=39
Duct Crawler|10E=4
Dusk Imp (1)|10E=4
Dusk Imp (2)|10E=49
Earth Elemental|10E=22
Elven Riders|10E=39
Elvish Berserker|10E=14
Elvish Champion (1)|10E=5481
Elvish Champion (2)|10E=1330
Elvish Piper|10E=334
Enormous Baloth|10E=10
Essence Drain|10E=11
Evacuation|10E=118
Faerie Conclave (1)|10E=354
Faerie Conclave (2)|10E=69
Fear (1)|10E=1088
Fear (2)|10E=16
Femeref Archers|10E=11
Festering Goblin|10E=25
Field Marshal (1)|10E=563
Field Marshal (2)|10E=1435
Firebreathing (1)|10E=25
Firebreathing (2)|10E=3
Fists of the Anvil|10E=12
Flamewave Invoker|10E=11
Flashfreeze|10E=39
Flowstone Slide|10E=24
Fog Elemental (1)|10E=3
Fog Elemental (2)|10E=49
Forbidding Watchtower|10E=27
Forest (1)|10E=36
Forest (2)|10E=27
Forest (3)|10E=46
Forest (4)|10E=24
Fountain of Youth|10E=22
Fugitive Wizard|10E=13
Furnace Whelp (1)|10E=10
Furnace Whelp (2)|10E=38
Furnace of Rath|10E=539
Gaea's Herald|10E=235
Ghitu Encampment (1)|10E=23
Ghitu Encampment (2)|10E=88
Ghost Warden|10E=23
Giant Growth|10E=9
Giant Spider (1)|10E=41
Giant Spider (2)|10E=8
Glorious Anthem|10E=42
Goblin Elite Infantry|10E=7
Goblin King (1)|10E=2067
Goblin King (2)|10E=3707
Goblin Lore|10E=694
Goblin Piker|10E=3
Goblin Sky Raider (1)|10E=27
Goblin Sky Raider (2)|10E=18
Grave Pact|10E=1664
Graveborn Muse|10E=955
Gravedigger|10E=4
Grizzly Bears|10E=22
Guerrilla Tactics|10E=17
Hail of Arrows|10E=23
Hate Weaver|10E=12
Head Games|10E=208
Heart of Light (1)|10E=10
Heart of Light (2)|10E=48
Hidden Horror|10E=14
High Ground|10E=24
Highway Robber|10E=2
Hill Giant|10E=16
Holy Day|10E=47
Holy Strength (1)|10E=61
Holy Strength (2)|10E=14
Honor Guard|10E=1
Horseshoe Crab|10E=25
Howling Mine|10E=334
Hunted Wumpus|10E=15
Hurkyl's Recall|10E=174
Hurricane|10E=48
Hypnotic Specter (1)|10E=750
Hypnotic Specter (2)|10E=165
Icatian Priest|10E=8
Icy Manipulator|10E=32
Incinerate|10E=13
Island (1)|10E=30
Island (2)|10E=22
Island (3)|10E=42
Island (4)|10E=26
Jayemdae Tome|10E=28
Joiner Adept|10E=244
Juggernaut|10E=10
Kamahl, Pit Fighter (1)|10E=71
Kamahl, Pit Fighter (2)|10E=26
Karplusan Forest|10E=682
Karplusan Strider|10E=5
Kavu Climber|10E=1
Kjeldoran Royal Guard|10E=16
Knight of Dusk|10E=47
Kraken's Eye|10E=10
Lava Axe|10E=3
Lavaborn Muse|10E=24
Legacy Weapon|10E=146
Leonin Scimitar (1)|10E=25
Leonin Scimitar (2)|10E=52
Lightning Elemental (1)|10E=15
Lightning Elemental (2)|10E=4
Llanowar Elves|10E=28
Llanowar Sentinel|10E=19
Llanowar Wastes|10E=258
Looming Shade|10E=5
Lord of the Pit (1)|10E=39
Lord of the Pit (2)|10E=349
Lord of the Undead|10E=1579
Loxodon Mystic|10E=9
Loxodon Warhammer (1)|10E=89
Loxodon Warhammer (2)|10E=299
Loyal Sentry|10E=21
Lumengrid Warden|10E=2
Luminesce|10E=11
Lure (1)|10E=95
Lure (2)|10E=21
Mahamoti Djinn (1)|10E=86
Mahamoti Djinn (2)|10E=26
Manabarbs|10E=574
Mantis Engine (1)|10E=40
Mantis Engine (2)|10E=10
March of the Machines (1)|10E=2358
March of the Machines (2)|10E=58
Mass of Ghouls|10E=4
Megrim|10E=51
Merfolk Looter|10E=24
Midnight Ritual|10E=34
Might Weaver (1)|10E=1
Might Weaver (2)|10E=46
Might of Oaks|10E=40
Millstone|10E=24
Mind Bend (1)|10E=91
Mind Bend (2)|10E=1196
Mind Rot|10E=5
Mind Stone|10E=88
Mirri, Cat Warrior (1)|10E=383
Mirri, Cat Warrior (2)|10E=3074
Mobilization (1)|10E=1821
Mobilization (2)|10E=111
Mogg Fanatic|10E=34
Molimo, Maro-Sorcerer (1)|10E=26
Molimo, Maro-Sorcerer (2)|10E=257
Mortal Combat|10E=437
Mortivore (1)|10E=786
Mortivore (2)|10E=163
Mountain (1)|10E=29
Mountain (2)|10E=24
Mountain (3)|10E=41
Mountain (4)|10E=31
Nantuko Husk|10E=27
Natural Spring|10E=4
Naturalize|10E=11
Nekrataal (1)|10E=134
Nekrataal (2)|10E=26
Nightmare (1)|10E=142
Nightmare (2)|10E=27
No Rest for the Wicked|10E=43
Nomad Mythmaker (1)|10E=444
Nomad Mythmaker (2)|10E=652
Orcish Artillery|10E=15
Ornithopter (1)|10E=1230
Ornithopter (2)|10E=48
Overgrowth (1)|10E=35
Overgrowth (2)|10E=1189
Overrun (1)|10E=107
Overrun (2)|10E=36
Pacifism (1)|10E=5
Pacifism (2)|10E=52
